country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",26-03-2025 22:00,11.654054,92.734055,NH3,1,5,2
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",26-03-2025 22:00,11.654054,92.734055,SO2,2,42,19
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",26-03-2025 22:00,11.654054,92.734055,CO,20,59,42
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-03-2025 22:00,16.5150833,80.5181667,CO,6,49,34
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",26-03-2025 22:00,14.675886,77.593027,PM10,48,66,57
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26-03-2025 22:00,26.146529,87.454184,NO2,2,12,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-03-2025 22:00,25.5626095,84.663264,NO2,5,9,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-03-2025 22:00,25.5626095,84.663264,NH3,1,1,1
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-03-2025 22:00,25.5626095,84.663264,CO,14,30,21
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-03-2025 22:00,25.5626095,84.663264,OZONE,9,184,102
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-03-2025 22:00,25.42742023,86.13886079,CO,44,54,51
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26-03-2025 22:00,26.446912,91.439057,CO,6,177,51
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-03-2025 22:00,24.82827,92.79525,PM2.5,27,84,60
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-03-2025 22:00,24.82827,92.79525,PM10,49,64,56
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-03-2025 22:00,24.82827,92.79525,SO2,1,7,4
India,Assam,Silchar,"Tarapur, Silchar - PCBA",26-03-2025 22:00,24.82827,92.79525,OZONE,1,11,6
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-03-2025 22:00,26.987634,94.636574,NO2,60,97,79
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26-03-2025 22:00,26.10887,91.589544,OZONE,14,19,16
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26-03-2025 22:00,26.181742,91.78063,PM10,127,453,222
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",26-03-2025 22:00,25.204762,85.51496,NO2,NA,NA,NA
